en	zh
er roger JAPAN AIR eight zero standing by	收到 日本航空 八 待命中
climb	爬升
land	着陆
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
approaching WHISKEY five follow follow-me car in sight roger eight two eight	接近 WHISKEY 五 跟随引导车可见 收到 八两八
D H hold short of runway	D H 等待跑道
JAPAN AIR eight zero apron	日本航空 八洞 机坪
NAV	导航
<FORTY>	<FORTY>
apron good day VIETNAM five three one stand three two request push and start	机坪 日安 越南航空 五三幺 停机位 三两 请求推回和启动
MIKE SIERRA ZULU contact tower one one eight decimal six five good day	MIKE SIERRA ZULU 联系塔台 幺幺八点六五 日安
er roger	收到
are YOU ready	你准备好了吗
land	着陆
<FIVE>	<FIVE>
that is	好的
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
AIR JUNEYAO one one zero six contact tower one one eight decimal six five thank YOU good day	吉祥航空 幺幺洞六 联系塔台 幺幺八点六五 谢谢你 日安
FINNAIR eight one surface wind zero five zero degree eight meters per second runway three six right clear to land	芬航 八幺 表面风速 五洞° 每秒 八 米 跑道 三六 右 清晰着陆
HOTEL seven hold short runway three six left AIR JUNEYAO one eight eight one	HOTEL 拐 等待跑道 三六 左 吉祥航空 幺八八幺
BAUHINIA two four one	BAUHINIA 两四幺
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
hold short DELTA one one CHINA EASTERN five one one four	等待 DELTA 幺幺 东航 五幺幺四
one eight seven	幺八拐
er PUDONG apron SICHUAN eight nine six two gate one six four we are ready	浦东机坪 四川航空 八九六两 停机位 幺六四 我们准备好了
go ahead CATHAY three seven	请讲 国泰 三拐
and start is that AIR is about the airport position but we can take	并启动 这是关于机场位置 但我们可以接收
<FOUR-HUNDRED>	<FOUR-HUNDRED>
CHINA EASTERN five one six two turn left vacate	东航 五幺六两 左转 滑行
check	检查
tower AIR SPRING eight five nine zero parking er taxiway BRAVO	塔台 春秋航空 八五九洞 停机位 滑行 BRAVO
SINGAPORE eight three three one two one decimal nine seven	新加坡航空 八三三 联系机坪 幺两幺点九拐五
runway three six clear for take off AIR JUNEYAO one	跑道 三六 清晰起飞 吉祥航空 幺
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
land	着陆
NAV	导航
pushback start up approved runway three four left facing south	推回和启动获批 跑道 三四 左 面向南
JUNEYAO one zero one two	吉祥航空 幺洞幺两
land	着陆
CHINA EASTERN five one six two contact tower one one eight decimal six five good day	东航 五幺六两 联系塔台 幺幺八点六五 日安
ALL NIPPON nine seven two now contact apron one two one decimal nine seven	全日空 九拐两 现在联系 幺两幺点九拐五
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
ALL NIPPON nine	全日空 九
hold short of H four	等待 H 四
D hold short of one CHINA EASTERN five two four one contact ground	D 等待 幺 东航 五两四幺 联系地面
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
seven eight five	拐八五
<THIRTY>	<THIRTY>
er confirm again er YOU can accept take off in heavy sorry	再次确认 你能接受重型起飞 抱歉
runway track	跑道
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
one two one decimal two	幺两幺点两
CAPITAL JET five five one one	首都航空 五五幺幺
one two one decimal two	幺两幺点两
land	着陆
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
check	检查
tower AIR JUNEYAO one one zero six localizer runway three six right	塔台 吉祥航空 幺幺洞六 ILS 跑道 三六 右
check	检查
one two one seven five CHINA EASTERN five five one five good day	幺两幺点拐五 日安 东航 五五幺五
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
JAPAN AIR eight one heavy surface wind zero six zero degrees one one meters per second one seven meters per second runway three six right clear to land	日本航空 八幺 重型 表面风速 六洞° 每秒 幺幺 米 每秒 幺拐 米 跑道 三六 右 清晰着陆
CHINA EASTERN five five one eight apron taxi via DELTA YANKEE three follow follow-me car parking bay two seven zero	东航 五五幺八 机坪 滑行经过 DELTA Y三 跟随引导车 停机位 两拐洞
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
CHINA EASTERN five one one three apron report tug ready	东航 五幺幺三 机坪 报告 拖车准备
CHINA EASTERN five one two one pushback and start up approved runway three six left	东航 五幺两幺 推回和启动获批 跑道三六左转
<FOUR-HUNDRED>	<FOUR-HUNDRED>
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
BAUHINIA two four six contact ground one two one decimal eight	BAUHINIA 两四六 联系地面 幺两幺点八
<FORTY>	<FORTY>
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
<ENGINE>	<ENGINE>
land	着陆
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
land	着陆
NAV	导航
DELTA parking bay two three two AIR JUNEYAO one two one zero	DELTA 停机位 两三两 吉祥航空 幺两幺洞
one two one nine zero five SINGAPORE eight three three	幺两幺点九洞五 新加坡航空 八三三
good day	日安
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
climb	爬升
one one nine contact tower one one eight decimal six five good day	幺幺九 联系塔台 幺幺八点六五 日安
two zero five two direct to GODOP	两洞五两 直接到 GODOP
apron hello SWISS one eight nine heavy stand six one requesting push and start	机坪 你好 瑞士航空 幺八九 重型 停机位 六幺 请求推回和启动
KOREAN AIR three six one vacate runway taxi via A hold short H four	韩亚航空 三六幺 滑行通过 A 等待 H 四
NAV	导航
AIR SPRING eight five nine zero line up and wait runway three six left	春秋航空 八五九洞 排队等候跑道 三六 左
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
pushback and start up approved runway three four left	推回和启动获批 跑道 三四 左
<THIRTY>	<THIRTY>
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
<FIFTY>	<FIFTY>
BOHAI AIR eight four one two seven six five	渤海航空 八四幺两拐六五
check	检查
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
<FIVE>	<FIVE>
wilco SINGAPORE eight three three	收到 新加坡 八三三
AIR SPRING eight five nine zero cross runway three six right	春秋航空 八五九洞 穿越跑道 三六 右
CHINA SOUTHERN good day	南方航空 日安
AIR SPRING eight five	春秋航空 八五
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
CHINA EASTERN five one one one taxi via DELTA hold short DELTA one six	东航 五幺幺幺 滑行经过 DELTA 等待 DELTA 幺六
land	着陆
CHINA SOUTHERN three zero eight	南方航空 三洞八
seven zero seven two tower B taxi	拐洞拐两 塔台 B 滑行
tower AIR JUNEYAO one	塔台 吉祥航空 幺
GUANGZHOU tower ALL NIPPON nine seven zero on BRAVO	广州塔 全日空 九拐洞 通过 BRAVO
zero seven	洞拐
AIR JUNEYAO one eight zero two taxi via CHARLIE hold short DELTA one one	吉祥航空 幺八洞两 通过 CHARLIE 等待 DELTA 幺幺
D H seven hold short of ILS	D H 拐 等待 ILS
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
land	着陆
er taxi via DELTA parking bay two three two AIR JUNEYAO one eight five six	滑行经过 DELTA 停机位 两三两 东航 幺八五六
zero contact approach one two six	零 联系进近 幺两六
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
NAV	导航
NAV	导航
ASIANA three six six roger er confirm your tug is	亚航 三六六 收到 确认你的拖车准备好了
one zero one three continue approach three six right JAPAN AIR eight one	幺洞幺三 继续接近 跑道 三六 右 日本航空 八幺
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
runway track	跑道
<ENGINE>	<ENGINE>
er GERMAN CARGO five seven zero just confirm the stand please	德国货运 五拐洞 请确认停机位
apron BAUHINIA two four one good evening on bay one six eight we are ready	机坪 BAUHINIA 两四幺 晚安 停机位 幺六八 我们准备好了
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
CHINA EASTERN two five zero	东航 两五洞
AIR JUNEYAO one one zero six report the wind deviation on final	吉祥航空 幺幺洞六 报告最终进近的风偏差
<THIRTY>	<THIRTY>
JUNEYAO one one nine three	吉祥航空 幺幺九三
BAUHINIA two three seven er confirm YOU have tug ready	确认 BAUHINIA 两三拐 拖车准备好了
stand by for runway zero two	等待跑道 洞两
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
five nine zero	五九洞
CHINA EASTERN five one one one contact ground one two one decimal nine good day	东航 五幺幺幺 联系地面 幺两幺点九 日安
on BRAVO hold short of HOTEL six	在 BRAVO 等待 HOTEL 六
STAR	STAR
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
CHINA EASTERN five one six three contact ground one two one decimal nine good day	东航 五幺六三 联系地面 幺两幺点九 日安
er one one three zero three AIR MACAU one three eight	确认 幺幺三洞三 澳门航空 幺三八
fly heading three four nine	飞往 三四九°
<THIRTY>	<THIRTY>
AEROFLOT two zero nine now YOU contact one two one decimal nine seven five	俄罗斯航空 两洞九 现在联系 幺两幺点九拐五
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
one one eight decimal six five good day MIKE SIERRA ZULU	幺幺八点六五 日安 MIKE SIERRA ZULU
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
land	着陆
check	检查
er pushback and start up approved runway three six right CHINA EASTERN five one one one	推回和启动获批 跑道三六右转 东航 五幺幺幺
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
roger	收到
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
CHINA EASTERN five one one one about sixty minutes	东航 五幺幺幺 大约六洞分钟
CHINA EASTERN five three zero eight taxi via BRAVO hold short HOTEL two contact tower one one eight decimal six five good day	东航 五三洞八 通过 BRAVO 等待 HOTEL 两 联系塔台 幺幺八点六五 日安
LUFTHANSA seven two nine TANGO three hold short BRAVO	汉莎航空 拐两九 TANGO 三 等待 BRAVO
five hold short of zero four	五 等待 洞四
NAV	导航
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
go ahead for UNITED eight five eight	请讲 联合航空 八五八
JUNEYAO one zero one two	吉祥航空 幺洞幺两
er taxi via DELTA MIKE three DELTA hold short DELTA one four CHINA EASTERN five one one one	出租车经过 DELTA MIKE 三 DELTA 等待 DELTA 幺四 东航 五幺幺幺
er BAUHINIA two three seven apron	BAUHINIA 两三拐 机坪
NAV	导航
NAV	导航
er apron hello SPEEDBIRD one six eight stand stand seventy seven we are er fully ready	机坪 你好 英国航空 幺六八 停机位 拐拐 我们完全准备好了
